
      	X(nS)     	Ch1(mV)      
 187  	1.8173    	-2.203201   
 188  	1.8271    	-2.125076   
 189  	1.8368    	-2.250076   
 190  	1.8466    	-1.984451   
 191  	1.8564    	-2.015701   
 192  	1.8661    	-2.140701   
 193  	1.8759    	-2.140701   
 194  	1.8857    	-2.015701   
 195  	1.8955    	-1.968826   
 196  	1.9052    	-1.984451   
 197  	1.9150    	-2.203201   
 198  	1.9248    	-2.265701   
 199  	1.9345    	-2.000076   
 200  	1.9443    	-1.906326   
 201  	1.9541    	-2.343826   
 202  	1.9638    	-2.234451   
 203  	1.9736    	-2.296951   
 204  	1.9834    	-2.156326   
 205  	1.9932    	-2.328201   
 206  	2.0029    	-2.093826   
 207  	2.0127    	-1.843826   
 208  	2.0225    	-2.062576   
 209  	2.0322    	-2.328201   
 210  	2.0420    	-2.343826   
 211  	2.0518    	-2.187576   
 212  	2.0616    	-2.000076   
 213  	2.0713    	-2.140701   
 214  	2.0811    	-2.140701   
 215  	2.0909    	-1.968826   
 216  	2.1006    	-1.937576   
 217  	2.1104    	-1.906326   
 218  	2.1202    	-2.187576   
 219  	2.1299    	-2.171951   
 220  	2.1397    	-2.140701   
 221  	2.1495    	-2.406326   
 222  	2.1593    	-2.250076   
 223  	2.1690    	-2.171951   
 224  	2.1788    	-2.265701   
 225  	2.1886    	-2.109451   
 226  	2.1983    	-2.125076   
 227  	2.2081    	-2.281326   
 228  	2.2179    	-2.343826   
 229  	2.2277    	-2.250076   
 230  	2.2374    	-2.203201   
 231  	2.2472    	-2.265701   
 232  	2.2570    	-2.234451   
 233  	2.2667    	-2.203201   
 234  	2.2765    	-2.109451   
 235  	2.2863    	-2.156326   
 236  	2.2960    	-2.140701   
 237  	2.3058    	-2.046951   
 238  	2.3156    	-1.921951   
 239  	2.3254    	-1.968826   
 240  	2.3351    	-2.234451   
 241  	2.3449    	-2.359451   
 242  	2.3547    	-2.203201   
 243  	2.3644    	-2.203201   
 244  	2.3742    	-2.265701   
 245  	2.3840    	-2.187576   
 246  	2.3937    	-2.296951   
 247  	2.4035    	-2.421951   
 248  	2.4133    	-2.531326   
 249  	2.4231    	-2.343826   
 250  	2.4328    	-2.406326   
 251  	2.4426    	-2.109451   
 252  	2.4524    	-2.203201   
 253  	2.4621    	-2.234451   
 254  	2.4719    	-2.640701   
 255  	2.4817    	-2.281326   
 256  	2.4915    	-2.468826   
