
 1    	0.0000    	-2.296953   
 2    	0.0098    	-2.062578   
 3    	0.0195    	-2.046953   
 4    	0.0293    	-1.984453   
 5    	0.0391    	-2.078203   
 6    	0.0489    	-1.953203   
 7    	0.0586    	-2.343828   
 8    	0.0684    	-2.312578   
 9    	0.0782    	-1.953203   
 10   	0.0879    	-2.312578   
 11   	0.0977    	-2.000078   
 12   	0.1075    	-2.031328   
 13   	0.1172    	-2.046953   
 14   	0.1270    	-2.046953   
 15   	0.1368    	-1.843828   
 16   	0.1466    	-1.984453   
 17   	0.1563    	-1.953203   
 18   	0.1661    	-2.218828   
 19   	0.1759    	-2.187578   
 20   	0.1856    	-2.140703   
 21   	0.1954    	-2.046953   
 22   	0.2052    	-2.203203   
 23   	0.2149    	-2.281328   
 24   	0.2247    	-2.328203   
 25   	0.2345    	-2.328203   
 26   	0.2443    	-2.171953   
 27   	0.2540    	-2.140703   
 28   	0.2638    	-2.265703   
 29   	0.2736    	-2.046953   
 30   	0.2833    	-2.140703   
 31   	0.2931    	-2.140703   
 32   	0.3029    	-2.046953   
 33   	0.3127    	-2.312578   
 34   	0.3224    	-2.234453   
 35   	0.3322    	-2.093828   
 36   	0.3420    	-2.125078   
 37   	0.3517    	-2.281328   
 38   	0.3615    	-2.109453   
 39   	0.3713    	-2.187578   
 40   	0.3810    	-2.328203   
 41   	0.3908    	-2.125078   
 42   	0.4006    	-2.078203   
 43   	0.4104    	-2.062578   
 44   	0.4201    	-2.234453   
 45   	0.4299    	-2.500078   
 46   	0.4397    	-2.437578   
 47   	0.4494    	-2.468828   
 48   	0.4592    	-1.953203   
 49   	0.4690    	-2.140703   
 50   	0.4787    	-2.218828   
 51   	0.4885    	-2.343828   
 52   	0.4983    	-2.390703   
 53   	0.5081    	-2.250078   
 54   	0.5178    	-2.109453   
 55   	0.5276    	-2.218828   
 56   	0.5374    	-2.093828   
 57   	0.5471    	-2.078203   
 58   	0.5569    	-2.281328   
 59   	0.5667    	-2.390703   
 60   	0.5765    	-2.234453   
 61   	0.5862    	-2.000078   
 62   	0.5960    	-2.046953   
 63   	0.6058    	-2.234453   
 64   	0.6155    	-2.375078   
 65   	0.6253    	-2.593828   
 66   	0.6351    	-2.125078   
 67   	0.6448    	-2.328203   
 68   	0.6546    	-2.156328   
 69   	0.6644    	-2.078203   
 70   	0.6742    	-1.921953   
 71   	0.6839    	-2.125078   
 72   	0.6937    	-2.468828   
 73   	0.7035    	-2.359453   
 74   	0.7132    	-2.140703   
 75   	0.7230    	-2.562578   
 76   	0.7328    	-2.265703   
 77   	0.7426    	-2.171953   
 78   	0.7523    	-2.093828   
