
      	X(nS)     	Ch1(mV)      
 187  	1.8173    	-2.250078   
 188  	1.8271    	-2.234452   
 189  	1.8368    	-2.046953   
 190  	1.8466    	-1.984453   
 191  	1.8564    	-2.125078   
 192  	1.8661    	-1.921953   
 193  	1.8759    	-1.968828   
 194  	1.8857    	-2.015703   
 195  	1.8955    	-1.984453   
 196  	1.9052    	-2.109453   
 197  	1.9150    	-2.250078   
 198  	1.9248    	-2.171953   
 199  	1.9345    	-2.234452   
 200  	1.9443    	-2.203202   
 201  	1.9541    	-2.390703   
 202  	1.9638    	-2.109453   
 203  	1.9736    	-2.062577   
 204  	1.9834    	-2.109453   
 205  	1.9932    	-2.390703   
 206  	2.0029    	-2.281328   
 207  	2.0127    	-2.218828   
 208  	2.0225    	-2.015703   
 209  	2.0322    	-2.093827   
 210  	2.0420    	-2.015703   
 211  	2.0518    	-2.093827   
 212  	2.0616    	-2.500078   
 213  	2.0713    	-2.484453   
 214  	2.0811    	-2.187578   
 215  	2.0909    	-2.375077   
 216  	2.1006    	-2.218828   
 217  	2.1104    	-2.312578   
 218  	2.1202    	-2.218828   
 219  	2.1299    	-1.968828   
 220  	2.1397    	-2.125078   
 221  	2.1495    	-2.078203   
 222  	2.1593    	-2.218828   
 223  	2.1690    	-2.140703   
 224  	2.1788    	-2.031328   
 225  	2.1886    	-2.125078   
 226  	2.1983    	-2.031328   
 227  	2.2081    	-2.078203   
 228  	2.2179    	-2.328203   
 229  	2.2277    	-2.359453   
 230  	2.2374    	-2.421953   
 231  	2.2472    	-2.140703   
 232  	2.2570    	-2.171953   
 233  	2.2667    	-2.421953   
 234  	2.2765    	-2.375077   
 235  	2.2863    	-2.156328   
 236  	2.2960    	-2.125078   
 237  	2.3058    	-2.312578   
 238  	2.3156    	-2.171953   
 239  	2.3254    	-2.171953   
 240  	2.3351    	-2.031328   
 241  	2.3449    	-2.031328   
 242  	2.3547    	-2.062577   
 243  	2.3644    	-2.265703   
 244  	2.3742    	-2.156328   
 245  	2.3840    	-2.375077   
 246  	2.3937    	-2.171953   
 247  	2.4035    	-2.062577   
 248  	2.4133    	-2.125078   
 249  	2.4231    	-2.234452   
 250  	2.4328    	-2.187578   
 251  	2.4426    	-2.281328   
 252  	2.4524    	-2.015703   
 253  	2.4621    	-2.281328   
 254  	2.4719    	-2.125078   
 255  	2.4817    	-2.015703   
 256  	2.4915    	-2.281328   
 257  	2.5012    	-2.156328   
 258  	2.5110    	-2.218828   
 259  	2.5208    	-2.203202   
 260  	2.5305    	-2.250078   
 261  	2.5403    	-2.078203   
 262  	2.5501    	-2.156328   
 263  	2.5598    	-2.171953   
 264  	2.5696    	-1.984453   
 265  	2.5794    	-2.109453   
 266  	2.5892    	-2.281328   
 267  	2.5989    	-2.125078   
 268  	2.6087    	-2.156328   
 269  	2.6185    	-2.281328   
 270  	2.6282    	-2.312578   
 271  	2.6380    	-2.203202   
 272  	2.6478    	-2.359453   
 273  	2.6575    	-2.468828   
 274  	2.6673    	-2.312578   
 275  	2.6771    	-2.281328   
 276  	2.6869    	-2.140703   
 277  	2.6966    	-2.343827   
 278  	2.7064    	-2.390703   
 279  	2.7162    	-2.125078   
 280  	2.7259    	-2.296953   
 281  	2.7357    	-2.000078   
 282  	2.7455    	-2.218828   
 283  	2.7553    	-2.406327   
 284  	2.7650    	-2.359453   
 285  	2.7748    	-2.250078   
 286  	2.7846    	-2.062577   
 287  	2.7943    	-2.187578   
 288  	2.8041    	-2.203202   
 289  	2.8139    	-2.078203   
 290  	2.8236    	-2.000078   
 291  	2.8334    	-2.250078   
 292  	2.8432    	-2.343827   
 293  	2.8530    	-2.187578   
 294  	2.8627    	-2.140703   
 295  	2.8725    	-2.031328   
 296  	2.8823    	-2.281328   
 297  	2.8920    	-2.187578   
 298  	2.9018    	-2.046953   
 299  	2.9116    	-2.078203   
 300  	2.9213    	-1.921953   
 301  	2.9311    	-2.312578   
 302  	2.9409    	-2.140703   
 303  	2.9507    	-2.062577   
 304  	2.9604    	-2.234452   
 305  	2.9702    	-2.187578   
 306  	2.9800    	-2.093827   
 307  	2.9897    	-1.875078   
 308  	2.9995    	-2.078203   
 309  	3.0093    	-2.281328   
 310  	3.0191    	-2.250078   
 311  	3.0288    	-2.078203   
 312  	3.0386    	-2.046953   
 313  	3.0484    	-2.234452   
 314  	3.0581    	-2.234452   
 315  	3.0679    	-2.421953   
 316  	3.0777    	-2.187578   
 317  	3.0874    	-2.140703   
 318  	3.0972    	-2.000078   
 319  	3.1070    	-2.125078   
 320  	3.1168    	-1.937578   
 321  	3.1265    	-2.078203   
 322  	3.1363    	-2.171953   
 323  	3.1461    	-1.984453   
 324  	3.1558    	-2.203202   
 325  	3.1656    	-1.984453   
 326  	3.1754    	-2.000078   
 327  	3.1851    	-2.109453   
 328  	3.1949    	-2.359453   
 329  	3.2047    	-2.562578   
 330  	3.2145    	-2.187578   
 331  	3.2242    	-2.171953   
 332  	3.2340    	-2.093827   
 333  	3.2438    	-2.343827   
 334  	3.2535    	-2.375077   
 335  	3.2633    	-2.265703   
 336  	3.2731    	-2.265703   
 337  	3.2829    	-2.312578   
 338  	3.2926    	-1.937578   
 339  	3.3024    	-2.015703   
 340  	3.3122    	-2.265703   
 341  	3.3219    	-2.281328   
 342  	3.3317    	-2.062577   
 343  	3.3415    	-2.203202   
 344  	3.3512    	-2.281328   
 345  	3.3610    	-2.218828   
 346  	3.3708    	-2.250078   
 347  	3.3806    	-2.203202   
 348  	3.3903    	-2.218828   
 349  	3.4001    	-2.453203   
 350  	3.4099    	-2.328203   
 351  	3.4196    	-2.046953   
 352  	3.4294    	-2.062577   
 353  	3.4392    	-2.234452   
 354  	3.4489    	-2.093827   
 355  	3.4587    	-2.187578   
 356  	3.4685    	-2.328203   
 357  	3.4783    	-2.078203   
 358  	3.4880    	-1.921953   
 359  	3.4978    	-2.046953   
 360  	3.5076    	-2.078203   
 361  	3.5173    	-2.250078   
 362  	3.5271    	-2.515702   
 363  	3.5369    	-2.343827   
 364  	3.5467    	-2.125078   
 365  	3.5564    	-2.250078   
 366  	3.5662    	-2.078203   
 367  	3.5760    	-2.218828   
 368  	3.5857    	-2.156328   
 369  	3.5955    	-2.000078   
 370  	3.6053    	-2.140703   
 371  	3.6150    	-2.015703   
 372  	3.6248    	-2.062577   
 373  	3.6346    	-2.265703   
 374  	3.6444    	-2.406327   
 375  	3.6541    	-2.156328   
 376  	3.6639    	-2.171953   
 377  	3.6737    	-2.421953   
 378  	3.6834    	-1.937578   
 379  	3.6932    	-2.375077   
 380  	3.7030    	-2.312578   
 381  	3.7128    	-2.156328   
 382  	3.7225    	-2.437578   
 383  	3.7323    	-2.453203   
 384  	3.7421    	-2.484453   
 385  	3.7518    	-2.343827   
 386  	3.7616    	-2.406327   
 387  	3.7714    	-2.390703   
 388  	3.7811    	-2.343827   
 389  	3.7909    	-2.203202   
 390  	3.8007    	-2.078203   
 391  	3.8105    	-1.984453   
 392  	3.8202    	-1.984453   
 393  	3.8300    	-2.015703   
 394  	3.8398    	-2.359453   
