
      	X(nS)     	Ch1(mV)      
 187  	4.5432    	-65.929871  
 188  	4.5677    	-65.426758  
 189  	4.5921    	-66.145508  
 190  	4.6165    	-66.217407  
 191  	4.6409    	-66.504883  
 192  	4.6654    	-66.576782  
 193  	4.6898    	-66.289246  
 194  	4.7142    	-66.217407  
 195  	4.7386    	-65.858025  
 196  	4.7631    	-65.786133  
 197  	4.7875    	-65.426758  
 198  	4.8119    	-65.283020  
 199  	4.8363    	-64.923645  
 200  	4.8608    	-64.420525  
 201  	4.8852    	-65.570496  
 202  	4.9096    	-64.851746  
 203  	4.9340    	-64.420525  
 204  	4.9585    	-63.989258  
 205  	4.9829    	-63.989258  
 206  	5.0073    	-63.414242  
 207  	5.0318    	-62.839230  
 208  	5.0562    	-63.198605  
 209  	5.0806    	-62.479858  
 210  	5.1050    	-62.120483  
 211  	5.1295    	-60.970516  
 212  	5.1539    	-58.239258  
 213  	5.1783    	-57.736145  
 214  	5.2027    	-56.011108  
 215  	5.2272    	-54.717403  
 216  	5.2516    	-54.429871  
 217  	5.2760    	-54.573605  
 218  	5.3004    	-54.789246  
 219  	5.3249    	-54.861141  
 220  	5.3493    	-54.573605  
 221  	5.3737    	-54.645508  
 222  	5.3981    	-54.573605  
 223  	5.4226    	-53.136105  
 224  	5.4470    	-52.776730  
 225  	5.4714    	-50.045528  
 226  	5.4958    	-42.570492  
 227  	5.5203    	-31.429869  
 228  	5.5447    	-10.083008  
 229  	5.5691    	9.898192    
 230  	5.5936    	21.685789   
 231  	5.6180    	33.401367   
 232  	5.6424    	40.804443   
 233  	5.6668    	47.273190   
 234  	5.6913    	51.513916   
 235  	5.7157    	53.526363   
 236  	5.7401    	56.473263   
 237  	5.7645    	57.623287   
 238  	5.7890    	58.701412   
 239  	5.8134    	59.204464   
 240  	5.8378    	59.923214   
 241  	5.8622    	59.276363   
 242  	5.8867    	60.713867   
 243  	5.9111    	60.426388   
 244  	5.9355    	61.145138   
 245  	5.9599    	61.145138   
 246  	5.9844    	61.791988   
 247  	6.0088    	62.223263   
 248  	6.0332    	62.366940   
 249  	6.0576    	62.366940   
 250  	6.0821    	62.079464   
 251  	6.1065    	61.935787   
 252  	6.1309    	62.942017   
 253  	6.1553    	64.379517   
 254  	6.1798    	64.092033   
 255  	6.2042    	64.882568   
 256  	6.2286    	64.379517   
 257  	6.2531    	63.876343   
 258  	6.2775    	63.876343   
 259  	6.3019    	64.595093   
 260  	6.3263    	64.882568   
 261  	6.3508    	64.379517   
 262  	6.3752    	63.588863   
 263  	6.3996    	64.307610   
 264  	6.4240    	64.451408   
 265  	6.4485    	64.235718   
 266  	6.4729    	63.732662   
 267  	6.4973    	65.170166   
 268  	6.5217    	64.810783   
 269  	6.5462    	65.098267   
 270  	6.5706    	65.098267   
 271  	6.5950    	65.888916   
 272  	6.6194    	65.601318   
 273  	6.6439    	65.817017   
 274  	6.6683    	66.535759   
 275  	6.6927    	65.529541   
 276  	6.7171    	66.463867   
 277  	6.7416    	65.960693   
 278  	6.7660    	66.320068   
 279  	6.7904    	67.326416   
 280  	6.8149    	66.823242   
 281  	6.8393    	65.745117   
 282  	6.8637    	67.182617   
 283  	6.8881    	67.973267   
 284  	6.9126    	67.829468   
 285  	6.9370    	68.835686   
 286  	6.9614    	67.470093   
 287  	6.9858    	69.698235   
 288  	7.0103    	69.842033   
 289  	7.0347    	69.626343   
 290  	7.0591    	69.554436   
 291  	7.0835    	70.201416   
 292  	7.1080    	69.266968   
 293  	7.1324    	68.692017   
 294  	7.1568    	68.692017   
 295  	7.1812    	68.692017   
 296  	7.2057    	69.698235   
 297  	7.2301    	68.404541   
 298  	7.2545    	68.763908   
 299  	7.2789    	68.763908   
 300  	7.3034    	69.338860   
 301  	7.3278    	69.195061   
 302  	7.3522    	70.057617   
 303  	7.3766    	69.266968   
 304  	7.4011    	70.488892   
 305  	7.4255    	69.913811   
 306  	7.4499    	68.763908   
 307  	7.4744    	68.907593   
 308  	7.4988    	69.338860   
 309  	7.5232    	69.913811   
 310  	7.5476    	70.704468   
 311  	7.5721    	70.129517   
 312  	7.5965    	70.057617   
 313  	7.6209    	71.207634   
 314  	7.6453    	70.632568   
 315  	7.6698    	69.698235   
 316  	7.6942    	69.985718   
 317  	7.7186    	70.129517   
 318  	7.7430    	70.273193   
 319  	7.7675    	70.488892   
 320  	7.7919    	69.770142   
 321  	7.8163    	69.698235   
 322  	7.8407    	70.416992   
 323  	7.8652    	70.704468   
 324  	7.8896    	70.057617   
 325  	7.9140    	70.201416   
 326  	7.9384    	69.913811   
 327  	7.9629    	70.273193   
 328  	7.9873    	70.704468   
 329  	8.0117    	71.998291   
 330  	8.0362    	72.717041   
 331  	8.0606    	73.076416   
 332  	8.0850    	72.070068   
 333  	8.1094    	71.998291   
 334  	8.1339    	71.063835   
 335  	8.1583    	70.416992   
 336  	8.1827    	70.920166   
 337  	8.2071    	71.279541   
 338  	8.2316    	70.848259   
 339  	8.2560    	70.848259   
 340  	8.2804    	69.913811   
 341  	8.3048    	69.698235   
 342  	8.3293    	69.051392   
 343  	8.3537    	68.763908   
 344  	8.3781    	69.410767   
 345  	8.4025    	69.913811   
 346  	8.4270    	69.123283   
 347  	8.4514    	69.913811   
 348  	8.4758    	70.057617   
 349  	8.5002    	69.266968   
 350  	8.5247    	69.410767   
 351  	8.5491    	70.057617   
 352  	8.5735    	70.057617   
 353  	8.5979    	69.985718   
 354  	8.6224    	70.201416   
 355  	8.6468    	69.195061   
 356  	8.6712    	70.129517   
 357  	8.6957    	69.626343   
 358  	8.7201    	69.482658   
 359  	8.7445    	69.985718   
 360  	8.7689    	70.920166   
 361  	8.7934    	71.063835   
 362  	8.8178    	70.848259   
 363  	8.8422    	69.698235   
 364  	8.8666    	70.129517   
 365  	8.8911    	70.057617   
 366  	8.9155    	70.704468   
 367  	8.9399    	71.207634   
 368  	8.9643    	70.920166   
 369  	8.9888    	72.141960   
 370  	9.0132    	71.423210   
 371  	9.0376    	71.135742   
 372  	9.0620    	71.638916   
 373  	9.0865    	70.776367   
 374  	9.1109    	70.416992   
 375  	9.1353    	70.848259   
 376  	9.1597    	70.920166   
 377  	9.1842    	70.560791   
 378  	9.2086    	70.632568   
 379  	9.2330    	71.423210   
 380  	9.2574    	71.495117   
 381  	9.2819    	70.920166   
 382  	9.3063    	71.854492   
 383  	9.3307    	71.423210   
 384  	9.3552    	71.207634   
 385  	9.3796    	70.991943   
 386  	9.4040    	71.854492   
 387  	9.4284    	72.285759   
 388  	9.4529    	71.782585   
 389  	9.4773    	71.926384   
 390  	9.5017    	71.063835   
 391  	9.5261    	70.776367   
 392  	9.5506    	71.567009   
 393  	9.5750    	72.213867   
 394  	9.5994    	71.854492   
 395  	9.6238    	73.220093   
 396  	9.6483    	71.926384   
 397  	9.6727    	71.710693   
 398  	9.6971    	71.495117   
 399  	9.7215    	71.279541   
 400  	9.7460    	72.213867   
 401  	9.7704    	71.495117   
 402  	9.7948    	70.920166   
 403  	9.8192    	70.488892   
