
      	X(nS)     	Ch1(mV)      
 187  	8.3596    	-2.568787   
 188  	8.4045    	-2.712524   
 189  	8.4494    	-2.568787   
 190  	8.4944    	-3.934387   
 191  	8.5393    	-3.143799   
 192  	8.5843    	-4.078186   
 193  	8.6292    	-4.293762   
 194  	8.6742    	-3.503174   
 195  	8.7191    	-3.503174   
 196  	8.7640    	-2.712524   
 197  	8.8090    	-3.143799   
 198  	8.8539    	-3.862549   
 199  	8.8989    	-3.359436   
 200  	8.9438    	-3.934387   
 201  	8.9888    	-4.078186   
 202  	9.0337    	-3.862549   
 203  	9.0787    	-4.006287   
 204  	9.1236    	-2.928161   
 205  	9.1685    	-3.215637   
 206  	9.2135    	-3.646911   
 207  	9.2584    	-3.934387   
 208  	9.3034    	-3.718811   
 209  	9.3483    	-3.934387   
 210  	9.3933    	-3.431274   
 211  	9.4382    	-2.784424   
 212  	9.4831    	-2.568787   
 213  	9.5281    	-3.359436   
 214  	9.5730    	-3.215637   
 215  	9.6180    	-2.784424   
 216  	9.6629    	-3.143799   
 217  	9.7079    	-3.071899   
 218  	9.7528    	-1.993774   
 219  	9.7978    	-1.778137   
 220  	9.8427    	-2.137512   
 221  	9.8876    	-2.928161   
 222  	9.9326    	-2.640686   
 223  	9.9775    	-2.784424   
 224  	10.0225   	-2.568787   
 225  	10.0674   	-2.928161   
 226  	10.1124   	-3.071899   
 227  	10.1573   	-3.575012   
 228  	10.2022   	-4.437561   
 229  	10.2472   	-3.934387   
 230  	10.2921   	-4.293762   
 231  	10.3371   	-4.365662   
 232  	10.3820   	-3.718811   
 233  	10.4270   	-3.215637   
 234  	10.4719   	-3.000061   
 235  	10.5169   	-3.143799   
 236  	10.5618   	-3.575012   
 237  	10.6067   	-4.581298   
 238  	10.6517   	-3.503174   
 239  	10.6966   	-3.000061   
 240  	10.7416   	-2.856262   
 241  	10.7865   	-4.653137   
 242  	10.8315   	-4.365662   
 243  	10.8764   	-4.293762   
 244  	10.9213   	-4.437561   
 245  	10.9663   	-3.718811   
 246  	11.0112   	-4.078186   
 247  	11.0562   	-4.293762   
 248  	11.1011   	-3.862549   
 249  	11.1461   	-3.143799   
 250  	11.1910   	-4.221923   
 251  	11.2360   	-4.725037   
 252  	11.2809   	-4.078186   
 253  	11.3258   	-4.150024   
