
      	X(nS)     	Ch1(mV)      
 187  	8.3596    	-69.017639  
 188  	8.4045    	-68.945740  
 189  	8.4494    	-69.305115  
 190  	8.4944    	-68.945740  
 191  	8.5393    	-69.017639  
 192  	8.5843    	-69.233276  
 193  	8.6292    	-68.298889  
 194  	8.6742    	-68.514526  
 195  	8.7191    	-67.939514  
 196  	8.7640    	-69.161377  
 197  	8.8090    	-69.377014  
 198  	8.8539    	-69.305115  
 199  	8.8989    	-69.161377  
 200  	8.9438    	-69.161377  
 201  	8.9888    	-68.730171  
 202  	9.0337    	-68.226990  
 203  	9.0787    	-67.795776  
 204  	9.1236    	-68.226990  
 205  	9.1685    	-68.586365  
 206  	9.2135    	-68.370789  
 207  	9.2584    	-67.939514  
 208  	9.3034    	-68.586365  
 209  	9.3483    	-69.089539  
 210  	9.3933    	-68.658264  
 211  	9.4382    	-69.952026  
 212  	9.4831    	-70.167664  
 213  	9.5281    	-69.017639  
 214  	9.5730    	-69.161377  
 215  	9.6180    	-68.658264  
 216  	9.6629    	-68.945740  
 217  	9.7079    	-68.873901  
 218  	9.7528    	-68.586365  
 219  	9.7978    	-68.658264  
 220  	9.8427    	-68.586365  
 221  	9.8876    	-68.442635  
 222  	9.9326    	-69.520760  
 223  	9.9775    	-69.089539  
 224  	10.0225   	-69.161377  
 225  	10.0674   	-69.161377  
 226  	10.1124   	-68.658264  
 227  	10.1573   	-68.298889  
 228  	10.2022   	-68.083252  
 229  	10.2472   	-69.305115  
 230  	10.2921   	-70.455139  
 231  	10.3371   	-69.736389  
 232  	10.3820   	-69.089539  
 233  	10.4270   	-67.795776  
 234  	10.4719   	-69.161377  
 235  	10.5169   	-68.802002  
 236  	10.5618   	-68.586365  
 237  	10.6067   	-68.370789  
 238  	10.6517   	-67.939514  
 239  	10.6966   	-68.298889  
 240  	10.7416   	-69.161377  
 241  	10.7865   	-68.658264  
 242  	10.8315   	-67.723877  
 243  	10.8764   	-68.586365  
 244  	10.9213   	-69.592651  
 245  	10.9663   	-70.239502  
 246  	11.0112   	-68.730171  
 247  	11.0562   	-69.664490  
 248  	11.1011   	-68.945740  
 249  	11.1461   	-69.736389  
 250  	11.1910   	-70.239502  
 251  	11.2360   	-69.017639  
 252  	11.2809   	-69.017639  
 253  	11.3258   	-68.730171  
 254  	11.3708   	-68.802002  
 255  	11.4157   	-68.442635  
 256  	11.4607   	-68.442635  
 257  	11.5056   	-67.939514  
 258  	11.5506   	-68.586365  
 259  	11.5955   	-68.442635  
 260  	11.6404   	-69.592651  
 261  	11.6854   	-69.592651  
 262  	11.7303   	-69.377014  
 263  	11.7753   	-68.802002  
 264  	11.8202   	-68.945740  
 265  	11.8652   	-68.586365  
 266  	11.9101   	-68.370789  
 267  	11.9551   	-67.795776  
 268  	12.0000   	-68.370789  
 269  	12.0449   	-68.370789  
 270  	12.0899   	-68.730171  
 271  	12.1348   	-68.802002  
 272  	12.1798   	-68.514526  
 273  	12.2247   	-67.436401  
 274  	12.2697   	-67.364510  
 275  	12.3146   	-68.442635  
 276  	12.3596   	-69.520760  
 277  	12.4045   	-68.730171  
 278  	12.4494   	-69.377014  
 279  	12.4944   	-69.089539  
 280  	12.5393   	-69.377014  
 281  	12.5843   	-69.448914  
 282  	12.6292   	-68.730171  
 283  	12.6742   	-69.089539  
 284  	12.7191   	-68.370789  
 285  	12.7640   	-69.089539  
 286  	12.8090   	-68.945740  
 287  	12.8539   	-69.017639  
 288  	12.8989   	-68.802002  
 289  	12.9438   	-68.083252  
 290  	12.9888   	-67.580139  
 291  	13.0337   	-68.370789  
 292  	13.0787   	-67.220764  
 293  	13.1236   	-67.939514  
 294  	13.1685   	-68.083252  
 295  	13.2135   	-68.586365  
 296  	13.2584   	-67.939514  
 297  	13.3034   	-67.867615  
 298  	13.3483   	-69.017639  
 299  	13.3933   	-68.298889  
 300  	13.4382   	-68.083252  
 301  	13.4831   	-68.011414  
 302  	13.5281   	-68.442635  
 303  	13.5730   	-68.586365  
 304  	13.6180   	-68.083252  
 305  	13.6629   	-68.514526  
 306  	13.7079   	-68.730171  
 307  	13.7528   	-69.592651  
 308  	13.7978   	-69.736389  
 309  	13.8427   	-69.233276  
 310  	13.8876   	-69.808296  
 311  	13.9326   	-70.239502  
 312  	13.9775   	-69.089539  
 313  	14.0225   	-68.802002  
 314  	14.0674   	-69.736389  
 315  	14.1124   	-69.161377  
 316  	14.1573   	-68.226990  
 317  	14.2022   	-68.514526  
 318  	14.2472   	-69.520760  
 319  	14.2921   	-69.233276  
 320  	14.3371   	-69.305115  
 321  	14.3820   	-69.952026  
 322  	14.4270   	-69.808296  
 323  	14.4719   	-68.658264  
 324  	14.5169   	-68.873901  
 325  	14.5618   	-68.586365  
 326  	14.6067   	-68.011414  
 327  	14.6517   	-67.939514  
 328  	14.6966   	-67.723877  
 329  	14.7416   	-68.873901  
 330  	14.7865   	-68.586365  
 331  	14.8315   	-67.867615  
 332  	14.8764   	-67.723877  
 333  	14.9213   	-68.155151  
 334  	14.9663   	-68.155151  
 335  	15.0112   	-68.226990  
 336  	15.0562   	-67.077026  
 337  	15.1011   	-68.370789  
 338  	15.1461   	-68.083252  
 339  	15.1910   	-67.795776  
 340  	15.2360   	-68.011414  
 341  	15.2809   	-68.226990  
 342  	15.3258   	-69.377014  
 343  	15.3708   	-69.448914  
 344  	15.4157   	-69.305115  
 345  	15.4607   	-68.514526  
 346  	15.5056   	-68.370789  
 347  	15.5506   	-68.370789  
 348  	15.5955   	-68.442635  
 349  	15.6404   	-70.239502  
 350  	15.6854   	-69.305115  
 351  	15.7303   	-69.233276  
 352  	15.7753   	-69.520760  
 353  	15.8202   	-70.455139  
 354  	15.8652   	-70.598885  
 355  	15.9101   	-70.670776  
 356  	15.9551   	-70.527039  
 357  	16.0000   	-69.736389  
 358  	16.0449   	-69.161377  
 359  	16.0899   	-69.161377  
 360  	16.1348   	-69.233276  
 361  	16.1798   	-69.233276  
 362  	16.2247   	-69.089539  
 363  	16.2697   	-69.664490  
 364  	16.3146   	-68.442635  
 365  	16.3596   	-68.873901  
 366  	16.4045   	-69.017639  
 367  	16.4494   	-68.442635  
 368  	16.4944   	-68.011414  
 369  	16.5393   	-68.514526  
 370  	16.5843   	-68.155151  
 371  	16.6292   	-69.161377  
 372  	16.6742   	-68.730171  
 373  	16.7191   	-69.664490  
 374  	16.7640   	-69.017639  
 375  	16.8090   	-69.592651  
 376  	16.8539   	-69.448914  
 377  	16.8989   	-69.664490  
 378  	16.9438   	-69.233276  
 379  	16.9888   	-69.377014  
 380  	17.0337   	-70.023865  
 381  	17.0787   	-68.586365  
 382  	17.1236   	-68.155151  
 383  	17.1685   	-68.730171  
 384  	17.2135   	-69.161377  
 385  	17.2584   	-69.089539  
 386  	17.3034   	-69.017639  
 387  	17.3483   	-68.298889  
 388  	17.3933   	-67.795776  
 389  	17.4382   	-68.658264  
 390  	17.4831   	-68.802002  
 391  	17.5281   	-68.370789  
 392  	17.5730   	-68.226990  
 393  	17.6180   	-69.161377  
 394  	17.6629   	-69.017639  
 395  	17.7079   	-68.658264  
 396  	17.7528   	-68.802002  
 397  	17.7978   	-68.730171  
 398  	17.8427   	-69.089539  
 399  	17.8876   	-68.945740  
 400  	17.9326   	-68.658264  
 401  	17.9775   	-68.155151  
 402  	18.0225   	-69.089539  
 403  	18.0674   	-68.226990  
 404  	18.1124   	-68.298889  
 405  	18.1573   	-67.867615  
 406  	18.2022   	-68.370789  
 407  	18.2472   	-67.652046  
 408  	18.2921   	-67.580139  
 409  	18.3371   	-68.226990  
 410  	18.3820   	-68.658264  
 411  	18.4270   	-69.089539  
 412  	18.4719   	-68.370789  
 413  	18.5169   	-68.945740  
 414  	18.5618   	-67.867615  
 415  	18.6067   	-68.083252  
 416  	18.6517   	-68.298889  
 417  	18.6966   	-68.658264  
 418  	18.7416   	-68.802002  
 419  	18.7865   	-69.161377  
 420  	18.8315   	-67.795776  
 421  	18.8764   	-68.658264  
 422  	18.9213   	-69.161377  
 423  	18.9663   	-68.586365  
 424  	19.0112   	-69.448914  
 425  	19.0562   	-68.226990  
 426  	19.1011   	-67.148865  
 427  	19.1461   	-67.723877  
 428  	19.1910   	-66.861389  
 429  	19.2360   	-68.370789  
 430  	19.2809   	-67.939514  
 431  	19.3258   	-67.220764  
 432  	19.3708   	-67.580139  
 433  	19.4157   	-67.652046  
 434  	19.4607   	-67.867615  
 435  	19.5056   	-68.730171  
 436  	19.5506   	-68.945740  
 437  	19.5955   	-68.226990  
 438  	19.6404   	-67.939514  
 439  	19.6854   	-67.795776  
 440  	19.7303   	-68.802002  
 441  	19.7753   	-68.155151  
 442  	19.8202   	-68.514526  
 443  	19.8652   	-68.226990  
 444  	19.9101   	-68.945740  
 445  	19.9551   	-68.442635  
 446  	20.0000   	-68.730171  
 447  	20.0449   	-68.083252  
 448  	20.0899   	-68.514526  
 449  	20.1348   	-68.802002  
 450  	20.1798   	-69.305115  
 451  	20.2247   	-69.808296  
 452  	20.2697   	-68.730171  
 453  	20.3146   	-69.305115  
 454  	20.3596   	-69.161377  
 455  	20.4045   	-68.730171  
 456  	20.4494   	-68.586365  
 457  	20.4944   	-68.155151  
 458  	20.5393   	-69.305115  
 459  	20.5843   	-69.161377  
 460  	20.6292   	-69.017639  
 461  	20.6742   	-69.017639  
 462  	20.7191   	-69.952026  
